ID;East Java;Kamal;-7.19945;112.733
ID;Central Java;Ungaran;-7.07217;110.44
ID;East Java;Gubengairlangga;-7.27309;112.743
ID;West Java;Nangerang;-7.1103;106.799
ID;East Java;Surabaya;-7.26807;112.713
ID;East Java;Wonorejo;-7.30368;112.81
ID;Yogyakarta;Sewon;-7.85171;110.357
ID;Yogyakarta;Melati;-7.68783;110.413
ID;East Java;Bojonegoro;-7.16462;111.887
ID;Yogyakarta;Pugeran Maguwoharjo;-7.76289;110.414
ID;East Java;Kediri;-7.81704;112.014
ID;Yogyakarta;Sleman;-7.78044;110.414
ID;West Java;Sukamaju;-7.0051;106.887
ID;Yogyakarta;Purbayan;-7.83061;110.403
ID;West Java;Cihanjuang;-7.2805;108.132
ID;Central Java;Tipar;-7.50528;109.148
ID;East Java;Batu;-7.8779;112.531
ID;West Java;Hujungtiwu;-7.09812;108.27
ID;Central Java;Jombor;-7.66493;110.836
ID;Yogyakarta;Caturtunggal;-7.77892;110.395
ID;Central Java;Boyolali;-7.5472;110.61
ID;Yogyakarta;Trihanggonermai;-7.77257;110.346
ID;Central Java;Candi Prambanan;-7.82866;110.494
ID;East Java;Malang;-7.93999;112.632
ID;East Java;Gununganyar;-7.33372;112.788
ID;East Java;Kediri;-7.84802;112.018
ID;Central Java;Temanggung;-7.31549;110.182
ID;East Java;Malang;-7.98575;112.637
ID;Central Java;Ungaran;-7.07216;110.44
ID;East Java;Krian;-7.40372;112.511
ID;East Java;Kamal;-7.12775;112.723
ID;East Java;Maduran;-7.0042;112.281
ID;East Java;Krian;-7.44575;112.571
ID;Yogyakarta;Pugeran Maguwoharjo;-7.75561;110.399
ID;East Java;Gubengairlangga;-7.26548;112.754
ID;Yogyakarta;Bantul;-7.88663;110.327
ID;Yogyakarta;Melati;-7.74013;110.369
ID;Yogyakarta;Pugeran Maguwoharjo;-7.7599;110.409
ID;Central Java;Kebumen;-7.66861;109.654
ID;East Java;Pamekasan;-7.1568;113.475
ID;Central Java;Mertoyudan;-7.50373;110.222
ID;East Java;Kauman;-7.15025;111.881
ID;East Java;Bojonegoro;-7.15025;111.881
ID;East Java;Gubengairlangga;-7.28348;112.71
ID;East Java;Kebomas;-7.20439;112.669
ID;Central Java;Surakarta;-7.55934;110.832
ID;Yogyakarta;Melati;-7.74751;110.355
ID;Yogyakarta;Yogyakarta;-7.82202;110.365
ID;East Java;Sedati;-7.39255;112.763
ID;Yogyakarta;Sleman;-7.68783;110.413
ID;West Java;Pameungpeuk;-7.00681;107.616
ID;Central Java;Semarang;-7.02176;110.462
ID;Central Java;Temanggung;-7.31625;110.176
ID;Central Java;Sudikampir;-7.51278;109.027
